source,target,verb,name,doc_id
454,22,report,REPORT,1026
455,853,establish,DEVELOP,761
456,22,apply,IMPLEMENT,1029
456,698,apply,IMPLEMENT,1029
457,855,lead,COORDINATE,1029
459,856,establish,DEVELOP,300
460,856,establish,DEVELOP,300
460,459,require,OBLIGATE,300
269,4,instruct,OBLIGATE,150
461,4,instruct,OBLIGATE,150
462,22,implement,IMPLEMENT,292
462,857,mitigate,REGULATE,292
462,858,use,USE,292
463,859,require,OBLIGATE,310
464,859,require,OBLIGATE,310
465,22,regulate,REGULATE,311
466,854,ensure,REGULATE,299
467,468,establish,DEVELOP,293
467,518,promote,SUPPORT,293
468,518,promote,SUPPORT,293
469,187,require,OBLIGATE,287
469,860,use,USE,287
144,200,ensure,REGULATE,1112
471,861,operate,IMPLEMENT,50
472,862,enforce,REGULATE,1074
472,22,oversee,REGULATE,1074
473,862,enforce,REGULATE,1074
473,22,oversee,REGULATE,1074
474,863,promote,SUPPORT,1390
476,863,promote,SUPPORT,1390
477,864,impose,OBLIGATE,1394
478,448,assist,SUPPORT,766
478,865,oversee,REGULATE,766
448,865,oversee,REGULATE,766
479,448,assist,SUPPORT,766
479,865,oversee,REGULATE,766
480,866,develop,DEVELOP,1076
481,22,lead,COORDINATE,1128
482,22,apply,IMPLEMENT,1322
483,22,oversee,REGULATE,1387
484,483,establish,DEVELOP,1387
484,22,oversee,REGULATE,1387
485,22,examine,EVALUATE,1539
485,328,require,OBLIGATE,1539
16,867,use,USE,1528
486,868,permit,AUTHORIZE,1535
487,869,create,DEVELOP,1496
488,870,protect,REGULATE,1403
184,871,establish,DEVELOP,1464
0,872,establish,DEVELOP,1468
489,873,develop,DEVELOP,1411
490,874,engage,COORDINATE,1431
50,875,establish,DEVELOP,1454
493,876,require,OBLIGATE,1714
138,22,implement,IMPLEMENT,1446
138,496,instruct,OBLIGATE,1446
495,877,adopt,DEVELOP,1446
496,22,implement,IMPLEMENT,1446
497,878,mandate,OBLIGATE,1538
108,879,create,DEVELOP,1716
498,22,assess,EVALUATE,1152
498,880,assist,SUPPORT,1152
16,881,file,REPORT,281
499,882,oversee,REGULATE,1726
500,883,study,EVALUATE,1729
501,884,implement,IMPLEMENT,1730
16,885,allow,AUTHORIZE,1519
502,886,govern,REGULATE,1195
