doc_id,tag_text,tag_id
329,STRATEGY: Disclosure - About evaluation,45
285,STRATEGY: Disclosure - About evaluation,45
278,STRATEGY: Disclosure - About evaluation,45
995,STRATEGY: Disclosure - About evaluation,45
356,STRATEGY: Disclosure - About evaluation,45
360,STRATEGY: Disclosure - About evaluation,45
765,STRATEGY: Disclosure - About evaluation,45
763,STRATEGY: Disclosure - About evaluation,45
294,STRATEGY: Disclosure - About evaluation,45
286,STRATEGY: Disclosure - About evaluation,45
284,STRATEGY: Disclosure - About evaluation,45
37,STRATEGY: Disclosure - About evaluation,45
280,STRATEGY: Disclosure - About evaluation,45
1377,STRATEGY: Disclosure - About evaluation,45
757,STRATEGY: Disclosure - About evaluation,45
766,STRATEGY: Disclosure - About evaluation,45
1385,STRATEGY: Disclosure - About evaluation,45
1387,STRATEGY: Disclosure - About evaluation,45
281,STRATEGY: Disclosure - About evaluation,45
1194,STRATEGY: Disclosure - About evaluation,45
1196,STRATEGY: Disclosure - About evaluation,45
2097,STRATEGY: Disclosure - About incidents,46
1379,STRATEGY: Disclosure - About incidents,46
1054,STRATEGY: Disclosure - About incidents,46
1588,STRATEGY: Disclosure - About incidents,46
637,STRATEGY: Disclosure - About incidents,46
1996,STRATEGY: Disclosure - About incidents,46
1826,STRATEGY: Disclosure - About incidents,46
1997,STRATEGY: Disclosure - About incidents,46
2040,STRATEGY: Disclosure - About incidents,46
1417,STRATEGY: Disclosure - About incidents,46
1382,STRATEGY: Disclosure - About incidents,46
1782,STRATEGY: Disclosure - About incidents,46
1802,STRATEGY: Disclosure - About incidents,46
1815,STRATEGY: Disclosure - About incidents,46
1962,STRATEGY: Disclosure - About incidents,46
1053,STRATEGY: Disclosure - About incidents,46
571,STRATEGY: Disclosure - About incidents,46
1087,STRATEGY: Disclosure - About incidents,46
987,STRATEGY: Disclosure - About incidents,46
576,STRATEGY: Disclosure - About incidents,46
826,STRATEGY: Disclosure - About incidents,46
1163,STRATEGY: Disclosure - About incidents,46
36,STRATEGY: Disclosure - About incidents,46
1376,STRATEGY: Disclosure - About incidents,46
771,STRATEGY: Disclosure - About incidents,46
441,STRATEGY: Disclosure - About incidents,46
855,STRATEGY: Disclosure - About incidents,46
896,STRATEGY: Disclosure - About incidents,46
1303,STRATEGY: Disclosure - About incidents,46
1202,STRATEGY: Disclosure - About incidents,46
288,STRATEGY: Disclosure - About incidents,46
758,STRATEGY: Disclosure - About incidents,46
995,STRATEGY: Disclosure - About incidents,46
765,STRATEGY: Disclosure - About incidents,46
280,STRATEGY: Disclosure - About incidents,46
1377,STRATEGY: Disclosure - About incidents,46
757,STRATEGY: Disclosure - About incidents,46
1387,STRATEGY: Disclosure - About incidents,46
281,STRATEGY: Disclosure - About incidents,46
1194,STRATEGY: Disclosure - About incidents,46
